,words,phone,phone_order,wordnum,start_s,end_s,audibility,ids,filename
5325,Tänze,t,22,5,1.8771201814058958,2.0170975056689344,0.4900173611111111,099,099.csv
5326,Tänze,ɛ,23,5,2.017120181405896,2.117097505668934,0.4032451923076923,099,099.csv
5327,Tänze,n,24,5,2.1171201814058955,2.2070975056689344,0.541015625,099,099.csv
5328,Tänze,ts,25,5,2.207120181405896,2.3570975056689343,0.1796875,099,099.csv
5329,Tänze,ə,26,5,2.3571201814058957,2.5170975056689344,0.19296875,099,099.csv
5330,Gleich,ɡ,1,1,0.0,0.03709750566893424,0.003125,048,048.csv
5331,Gleich,l,2,1,0.037120181405895694,0.12709750566893424,0.2604166666666667,048,048.csv
5332,Gleich,aɪ,3,1,0.1271201814058957,0.26709750566893425,0.5460069444444444,048,048.csv
5333,Gleich,ç,4,1,0.2671201814058957,0.4770975056689342,0.21846064814814814,048,048.csv
5334,hier,h,5,2,0.4771201814058957,0.5070975056689342,0.111328125,048,048.csv
5335,hier,iː,6,2,0.5071201814058957,0.6770975056689342,0.6047585227272727,048,048.csv
5336,hier,ɐ,7,2,0.6771201814058957,0.7670975056689342,0.498046875,048,048.csv
5337,sind,z,8,3,0.7671201814058957,0.9070975056689342,0.3263888888888889,048,048.csv
5338,sind,ɪ,9,3,0.9071201814058957,0.9470975056689342,0.578125,048,048.csv
5339,sind,n,10,3,0.9471201814058957,1.0170975056689342,0.24479166666666666,048,048.csv
5340,sind,t,11,3,1.0171201814058957,1.0470975056689342,0.0,048,048.csv
5341,die,d,12,4,1.0471201814058957,1.0870975056689343,0.0859375,048,048.csv
5342,die,iː,13,4,1.0871201814058957,1.2370975056689342,0.24095394736842105,048,048.csv
5343,Nahrungsmittel,n,14,5,1.2371201814058956,1.2670975056689342,0.19140625,048,048.csv
5344,Nahrungsmittel,aː,15,5,1.2671201814058957,1.4370975056689343,0.76953125,048,048.csv
5345,Nahrungsmittel,r,16,5,1.4371201814058956,1.5070975056689342,0.4236111111111111,048,048.csv
5346,Nahrungsmittel,ʊ,17,5,1.5071201814058957,1.5970975056689343,0.34765625,048,048.csv
5347,Nahrungsmittel,ŋ,18,5,1.5971201814058957,1.6570975056689343,0.0654296875,048,048.csv
5348,Nahrungsmittel,s,19,5,1.6571201814058958,1.7570975056689342,0.2620192307692308,048,048.csv
5349,Nahrungsmittel,m,20,5,1.7571201814058957,1.8670975056689343,0.32142857142857145,048,048.csv
5350,Nahrungsmittel,ɪ,21,5,1.8671201814058958,1.9170975056689343,0.15513392857142858,048,048.csv
5351,Nahrungsmittel,t,22,5,1.9171201814058958,2.0470975056689342,0.23897058823529413,048,048.csv
5352,Nahrungsmittel,ə,23,5,2.0471201814058957,2.237097505668934,0.5950520833333334,048,048.csv
5353,Nahrungsmittel,l,24,5,2.2371201814058956,2.2670975056689344,0.005859375,048,048.csv
5354,Im,ʔ,1,1,0.0,0.03709750566893424,0.0421875,162,162.csv
5355,Im,ɪ,2,1,0.037120181405895694,0.10709750566893424,0.6111111111111112,162,162.csv
5356,Im,m,3,1,0.10712018140589569,0.26709750566893425,0.219921875,162,162.csv
5357,Meer,m,4,2,0.2671201814058957,0.31709750566893424,0.22544642857142858,162,162.csv
5358,Meer,eː,5,2,0.3171201814058957,0.4770975056689342,0.350390625,162,162.csv
5359,Meer,ɐ,6,2,0.4771201814058957,0.6470975056689342,0.40767045454545453,162,162.csv
5360,tummeln,t,7,3,0.6471201814058957,0.7370975056689343,0.10416666666666667,162,162.csv
