,word,word_order,start_s,end_s,audibility,ids,filename
886,Nach,1,0.01712018140589569,0.31709750566893424,0.4407894736842105,172,172.csv
887,dem,2,0.3171201814058957,0.5570975056689342,0.29583333333333334,172,172.csv
888,Aufräumen,3,0.5571201814058957,1.4270975056689343,0.4063216743119266,172,172.csv
889,fand,4,1.4271201814058956,1.7670975056689342,0.20457848837209303,172,172.csv
890,ich,5,1.7671201814058957,1.9370975056689343,0.3604403409090909,172,172.csv
891,mein,6,1.9371201814058956,2.237097505668934,0.24588815789473684,172,172.csv
892,Buch,7,2.2371201814058956,2.738503401360544,0.2361111111111111,172,172.csv
893,Wir,1,0.01712018140589569,0.26709750566893425,0.184326171875,056,056.csv
894,hören,2,0.2671201814058957,0.8270975056689343,0.5910714285714286,056,056.csv
895,den,3,0.8271201814058957,1.0270975056689342,0.5309375,056,056.csv
896,plätschernden,4,1.0271201814058957,1.8970975056689343,0.17660550458715596,056,056.csv
897,Bach,5,1.8971201814058958,2.396643990929705,0.41021825396825395,056,056.csv
898,Schlaf,1,0.027120181405895692,0.5470975056689342,0.3625,087,087.csv
899,vor,2,0.5471201814058957,0.8170975056689342,0.3837316176470588,087,087.csv
900,Mitternacht,3,0.8171201814058957,1.4970975056689342,0.4131433823529412,087,087.csv
901,ist,4,1.4971201814058956,1.7970975056689342,0.09333881578947369,087,087.csv
902,gesund,5,1.7971201814058957,2.3970975056689343,0.3198958333333333,087,087.csv
903,Ein,1,0.0,0.23709750566893423,0.35963541666666665,219,219.csv
904,ruhiger,2,0.2371201814058957,0.7470975056689343,0.4683837890625,219,219.csv
905,Bach,3,0.7471201814058956,1.1270975056689343,0.3224283854166667,219,219.csv
906,plätschert,4,1.1271201814058958,1.7970975056689342,0.3230096726190476,219,219.csv
907,durch,5,1.7971201814058957,2.077097505668934,0.43125,219,219.csv
908,den,6,2.0771201814058955,2.327097505668934,0.236328125,219,219.csv
909,Wald,7,2.3271201814058955,2.8070975056689345,0.41119791666666666,219,219.csv
910,Die,1,0.0,0.18709750566893424,0.0576171875,051,051.csv
911,Ärzte,2,0.1871201814058957,0.7670975056689342,0.4142765410958904,051,051.csv
912,sind,3,0.7671201814058957,1.0170975056689342,0.500244140625,051,051.csv
913,damit,4,1.0171201814058957,1.3920861678004535,0.3234707446808511,051,051.csv
914,gar,5,1.392108843537415,1.7570975056689342,0.49643342391304346,051,051.csv
915,nicht,6,1.7571201814058957,1.9970975056689342,0.22473958333333333,051,051.csv
916,einverstanden,7,1.9971201814058956,3.1377551020408165,0.22984047202797203,051,051.csv
917,Nervöse,1,0.027120181405895692,0.7270975056689343,0.3525390625,080,080.csv
918,Menschen,2,0.7271201814058957,1.4770975056689342,0.4161402925531915,080,080.csv
919,brauchen,3,1.4771201814058956,1.9670975056689342,0.36529737903225806,080,080.csv
920,viel,4,1.9671201814058956,2.257097505668934,0.3640202702702703,080,080.csv
921,Ruhe,5,2.2571201814058957,2.7070975056689344,0.3137335526315789,080,080.csv
922,Nicht,1,0.0,0.3570975056689342,0.33819444444444446,109,109.csv
923,jeder,2,0.3571201814058957,0.7970975056689342,0.35042613636363634,109,109.csv
924,verträgt,3,0.7971201814058957,1.4770975056689342,0.4520220588235294,109,109.csv
925,kaltes,4,1.4771201814058956,1.9470975056689341,0.4416048728813559,109,109.csv
926,Bier,5,2.037120181405896,2.3970975056689343,0.4,109,109.csv
927,Die,1,0.0,0.15709750566893424,0.210546875,175,175.csv
928,Blumen,2,0.2071201814058957,0.7770975056689342,0.38671875,175,175.csv
929,blühen,3,0.7771201814058957,1.3470975056689343,0.3429904513888889,175,175.csv
930,im,4,1.3471201814058957,1.5670975056689342,0.08203125,175,175.csv
931,sonnigen,5,1.5671201814058957,2.117097505668934,0.35711050724637683,175,175.csv
932,Garten,6,2.1171201814058955,2.7470975056689344,0.2884691455696203,175,175.csv
933,Löst,1,0.0,0.45709750566893426,0.35479525862068967,064,064.csv
934,doch,2,0.45712018140589566,0.7070975056689343,0.366943359375,064,064.csv
935,die,3,0.7071201814058957,0.8470975056689343,0.06510416666666667,064,064.csv
936,Fahrkarten,4,0.8471201814058957,1.7070975056689341,0.4037181712962963,064,064.csv
937,am,5,1.7071201814058956,1.9170975056689343,0.4019097222222222,064,064.csv
938,Schalter,6,1.9171201814058958,2.5870975056689343,0.4154575892857143,064,064.csv
939,Die,1,0.0,0.15709750566893424,0.341796875,018,018.csv
940,Waschmaschine,2,0.1571201814058957,1.1470975056689343,0.4689390120967742,018,018.csv
941,summt,3,1.1471201814058958,1.8670975056689343,0.3171875,018,018.csv
942,sanft,4,1.8671201814058958,2.487097505668934,0.41005608974358976,018,018.csv
943,im,5,2.5971201814058955,2.777097505668934,0.272758152173913,018,018.csv
944,Hintergrund,6,2.7771201814058957,3.697097505668934,0.3172554347826087,018,018.csv
945,Der,1,0.0,0.14709750566893423,0.17639802631578946,140,140.csv
946,Termin,2,0.1471201814058957,0.6270975056689342,0.3497395833333333,140,140.csv
947,des,3,0.6271201814058956,0.8170975056689342,0.4765625,140,140.csv
948,Treffpunkts,4,0.8171201814058957,1.6920861678004535,0.23345170454545455,140,140.csv
949,wird,5,1.692108843537415,1.9770975056689342,0.2248263888888889,140,140.csv
950,noch,6,1.9771201814058956,2.1470975056689343,0.6491477272727273,140,140.csv
951,abgesprochen,7,2.147120181405896,3.0370975056689344,0.2953404017857143,140,140.csv
952,Der,1,0.0,0.16709750566893425,0.31808035714285715,191,191.csv
953,Kamin,2,0.16712018140589568,0.7770975056689342,0.4093952922077922,191,191.csv
954,verbreitet,3,0.7771201814058957,1.6570975056689343,0.33615056818181815,191,191.csv
955,wohlige,4,1.6571201814058958,2.277097505668934,0.2982772435897436,191,191.csv
956,Wärme,5,2.2771201814058957,2.8770975056689343,0.43302083333333335,191,191.csv
957,Sie,1,0.05712018140589569,0.30709750566893423,0.093994140625,257,257.csv
958,trägt,2,0.3071201814058957,0.8770975056689342,0.3312717013888889,257,257.csv
959,ein,3,0.8771201814058956,1.0870975056689343,0.44328703703703703,257,257.csv
960,Lächeln,4,1.0871201814058957,1.6570975056689343,0.4807942708333333,257,257.csv
961,im,5,1.6571201814058958,1.8770975056689343,0.27064732142857145,257,257.csv
962,Gesicht,6,1.8771201814058958,2.5999319727891157,0.23231456043956045,257,257.csv
963,Ein,1,0.0,0.19709750566893425,0.1421875,147,147.csv
964,primitiver,2,0.19712018140589568,0.9670975056689343,0.3759664948453608,147,147.csv
965,Mensch,3,0.9671201814058957,1.4270975056689343,0.5378502155172413,147,147.csv
966,wird,4,1.4271201814058956,1.6870975056689343,0.15269886363636365,147,147.csv
967,keine,5,1.6871201814058956,2.0670975056689342,0.4148763020833333,147,147.csv
968,Scheu,6,2.0671201814058957,2.407097505668934,0.5708575581395349,147,147.csv
969,kennen,7,2.4071201814058956,2.887097505668934,0.29440104166666664,147,147.csv
970,Im,1,0.0,0.31709750566893424,0.4015625,196,196.csv
971,Gebirge,2,0.3171201814058957,1.0570975056689342,0.3178763440860215,196,196.csv
972,glitzern,3,1.1471201814058958,1.7970975056689342,0.3278391768292683,196,196.csv
973,die,4,1.7971201814058957,1.9570975056689341,0.2921875,196,196.csv
974,schneebedeckten,5,1.9571201814058956,3.0670975056689342,0.37033498201438847,196,196.csv
975,Gipfel,6,3.0671201814058957,3.717097505668934,0.3043064024390244,196,196.csv
976,Die,1,0.0,0.11709750566893425,0.17135416666666667,250,250.csv
977,Freunde,2,0.1171201814058957,0.8470975056689343,0.488960597826087,250,250.csv
978,treffen,3,0.9171201814058957,1.3770975056689343,0.3648976293103448,250,250.csv
979,sich,4,1.3771201814058958,1.6870975056689343,0.3501602564102564,250,250.csv
980,am,5,1.6871201814058956,1.9670975056689342,0.3404017857142857,250,250.csv
981,See,6,1.9671201814058956,2.387097505668934,0.33357900943396224,250,250.csv
982,Der,1,0.0,0.17709750566893423,0.28940217391304346,063,063.csv
983,Bahnhof,2,0.1771201814058957,0.8870975056689342,0.2636060393258427,063,063.csv
984,liegt,3,0.8871201814058957,1.2370975056689342,0.193359375,063,063.csv
985,sieben,4,1.2371201814058956,1.5970975056689343,0.22517361111111112,063,063.csv
986,Minuten,5,1.5971201814058957,2.197097505668934,0.44916666666666666,063,063.csv
987,entfernt,6,2.1971201814058956,3.0010204081632654,0.26013304455445546,063,063.csv
988,Das,1,0.0,0.2970975056689342,0.48540296052631576,011,011.csv
989,Licht,2,0.2971201814058957,0.8870975056689342,0.18538851351351351,011,011.csv
990,tanzte,3,0.8871201814058957,1.6170975056689343,0.356742527173913,011,011.csv
991,über,4,1.6171201814058958,1.8870975056689343,0.5121783088235294,011,011.csv
992,dem,5,1.8871201814058958,2.1070975056689343,0.22712053571428573,011,011.csv
993,Fluss,6,2.1071201814058957,2.6470975056689343,0.3480009191176471,011,011.csv
994,Der,1,0.0,0.17709750566893423,0.2591711956521739,149,149.csv
995,Frosch,2,0.1771201814058957,0.7570975056689342,0.4504494863013699,149,149.csv
996,sprang,3,0.7571201814058957,1.3270975056689343,0.4118923611111111,149,149.csv
997,rein,4,1.3271201814058957,1.7270975056689342,0.47359375,149,149.csv
998,ins,5,1.7271201814058956,2.0570975056689345,0.12723214285714285,149,149.csv
999,Täschchen,6,2.0571201814058955,2.8170975056689342,0.26044407894736843,149,149.csv
1000,Der,1,0.0,0.17709750566893423,0.47078804347826086,198,198.csv
1001,Arzt,2,0.1771201814058957,0.8070975056689342,0.32407041139240506,198,198.csv
1002,untersucht,3,0.9271201814058957,1.5770975056689343,0.32907774390243905,198,198.csv
1003,den,4,1.5771201814058957,1.8070975056689342,0.5363685344827587,198,198.csv
1004,Patienten,5,1.8071201814058957,2.6870975056689343,0.27883522727272725,198,198.csv
1005,Das,1,0.0,0.23709750566893423,0.5369791666666667,135,135.csv
1006,amtliche,2,0.2371201814058957,0.9470975056689342,0.29406601123595505,135,135.csv
1007,Amtsblatt,3,0.9471201814058957,1.9070975056689343,0.36822916666666666,135,135.csv
1008,liegt,4,1.9071201814058958,2.2070975056689344,0.4545641447368421,135,135.csv
1009,überm,5,2.207120181405896,2.6270975056689343,0.435436320754717,135,135.csv
1010,Durchschnitt,6,2.6271201814058958,3.347097505668934,0.2630208333333333,135,135.csv
1011,Die,1,0.0,0.10709750566893424,0.025111607142857144,222,222.csv
1012,Freunde,2,0.10712018140589569,0.8170975056689342,0.48139044943820225,222,222.csv
1013,teilen,3,0.8171201814058957,1.3070975056689342,0.4810987903225806,222,222.csv
1014,Geschichten,4,1.3071201814058957,2.0570975056689345,0.258061835106383,222,222.csv
1015,am,5,2.0571201814058955,2.277097505668934,0.111328125,222,222.csv
1016,Lagerfeuer,6,2.2771201814058957,3.2070975056689344,0.31490384615384615,222,222.csv
1017,Ängstlich,1,0.0,0.6370975056689342,0.3119140625,132,132.csv
1018,begreifst,2,0.6371201814058957,1.2670975056689342,0.4657832278481013,132,132.csv
1019,du,3,1.2671201814058957,1.4470975056689341,0.5832201086956522,132,132.csv
1020,Omas,4,1.4471201814058956,1.9470975056689341,0.46564980158730157,132,132.csv
1021,Lage,5,1.9471201814058956,2.527097505668934,0.5368150684931506,132,132.csv
1022,Junge,1,0.0,0.43709750566893424,0.36747159090909093,225,225.csv
1023,Erwachsene,2,0.4371201814058957,1.2170975056689342,0.3673469387755102,225,225.csv
1024,genießen,3,1.2171201814058956,1.9370975056689343,0.26328125,225,225.csv
1025,das,4,1.9371201814058956,2.117097505668934,0.42289402173913043,225,225.csv
1026,Stadtfest,5,2.1171201814058955,3.067800453514739,0.30783876050420167,225,225.csv
